feature;importance
CC_AMT_PAYMENT_CURRENT_MAX;0.0001855068331540324
REFUSED_CNT_PAYMENT_SUM;0.00018261325545381355
PREV_AMT_DOWN_PAYMENT_MEAN;0.0001810857310935333
APPROVED_AMT_DOWN_PAYMENT_MEAN;0.00017991661887655072
PREV_NAME_PAYMENT_TYPE_XNA_MEAN;0.00017962473026541295
CC_AMT_INST_MIN_REGULARITY_SUM;0.00017960369949520402
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN;0.00017932222245216621
PREV_RATE_DOWN_PAYMENT_MEAN;0.00017873903775909603
POS_NAME_CONTRACT_STATUS_Completed_MEAN;0.0001774450655217535
APPROVED_AMT_APPLICATION_MIN;0.00017652659079473105
BURO_DAYS_CREDIT_ENDDATE_MEAN;0.00017354333281536678
APPROVED_AMT_ANNUITY_MEAN;0.00017231910357784426
APPROVED_HOUR_APPR_PROCESS_START_MAX;0.00017226162237681756
APPROVED_AMT_ANNUITY_MAX;0.00017144032925715978
CLOSED_DAYS_CREDIT_ENDDATE_MAX;0.00017096637756169473
CC_AMT_PAYMENT_TOTAL_CURRENT_MAX;0.00016825327870888514
CC_AMT_TOTAL_RECEIVABLE_MEAN;0.0001663615411776065
CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN;0.00016365895466001964
CC_AMT_INST_MIN_REGULARITY_MAX;0.00016166085129659452
CC_AMT_RECIVABLE_VAR;0.0001616294682881955
CC_AMT_RECIVABLE_MEAN;0.00015431340568389687
CC_AMT_DRAWINGS_ATM_CURRENT_MEAN;0.00015236119945953222
PREV_CHANNEL_TYPE_AP+ (Cash loan)_MEAN;0.0001514885105971509
PREV_AMT_DOWN_PAYMENT_MAX;0.00014242746726570948
BURO_AMT_CREDIT_SUM_MAX;0.000141074828315074
APPROVED_CNT_PAYMENT_SUM;0.00013707775557461884
PREV_PRODUCT_COMBINATION_Card Street_MEAN;0.000136754708195584
APPROVED_AMT_GOODS_PRICE_MIN;0.00013502401982215192
APPROVED_HOUR_APPR_PROCESS_START_MEAN;0.00013458754348417558
